state,act_participation_2017,act_participation_2018,act_participation_2019,sat_participation_2017,sat_participation_2018,sat_participation_2019,act_composite_2017,act_composite_2018,act_composite_2019,sat_total_2017,sat_total_2018,sat_total_2019,sat_avg_participation,sat_avg_total,act_avg_participation,act_avg_composite
alabama,1.0,1.0,1.0,0.05,0.06,0.07,19.2,19.1,18.9,1165,1166,1143,0.06,1158.0,1.0,19.0
alaska,0.65,0.33,0.38,0.38,0.43,0.41,19.8,20.8,20.1,1080,1106,1097,0.41,1094.0,0.45,20.0
arizona,0.62,0.66,0.73,0.3,0.29,0.31,19.7,19.2,19.0,1116,1149,1134,0.3,1133.0,0.67,19.0
arkansas,1.0,1.0,1.0,0.03,0.05,0.06,19.4,19.4,19.3,1208,1169,1141,0.05,1173.0,1.0,19.0
california,0.31,0.27,0.23,0.53,0.6,0.63,22.8,22.7,22.6,1055,1076,1065,0.59,1065.0,0.27,23.0
colorado,1.0,0.3,0.27,0.11,1.0,1.0,20.8,23.9,23.8,1201,1025,1024,0.7,1083.0,0.52,23.0
connecticut,0.31,0.26,0.22,1.0,1.0,1.0,25.2,25.6,25.5,1041,1053,1046,1.0,1047.0,0.26,25.0
delaware,0.18,0.17,0.13,1.0,1.0,1.0,24.1,23.8,24.1,996,998,985,1.0,993.0,0.16,24.0
district of columbia,0.32,0.32,0.32,1.0,0.92,0.94,24.2,23.6,23.5,950,977,975,0.95,967.0,0.32,24.0
florida,0.73,0.66,0.54,0.83,0.56,1.0,19.8,19.9,20.1,1017,1099,999,0.8,1038.0,0.64,20.0
georgia,0.55,0.53,0.49,0.61,0.7,0.71,21.4,21.4,21.4,1050,1064,1058,0.67,1057.0,0.52,21.0
hawaii,0.9,0.89,0.8,0.55,0.56,0.54,19.0,18.9,19.0,1085,1010,1100,0.55,1065.0,0.86,19.0
idaho,0.38,0.36,0.31,0.93,1.0,1.0,22.3,22.3,22.5,1005,1001,993,0.98,1000.0,0.35,22.0
illinois,0.93,0.43,0.35,0.09,0.99,1.0,21.4,23.9,24.3,1115,1019,1013,0.69,1049.0,0.57,23.0
indiana,0.35,0.32,0.29,0.63,0.63,0.66,22.6,22.5,22.5,1074,1074,1080,0.64,1076.0,0.32,23.0
iowa,0.67,0.68,0.66,0.02,0.03,0.03,21.9,21.8,21.6,1275,1265,1244,0.03,1261.0,0.67,22.0
kansas,0.73,0.71,0.72,0.04,0.04,0.04,21.7,21.6,21.2,1260,1265,1241,0.04,1255.0,0.72,22.0
kentucky,1.0,1.0,1.0,0.04,0.04,0.04,20.0,20.2,19.8,1247,1248,1232,0.04,1242.0,1.0,20.0
louisiana,1.0,1.0,1.0,0.04,0.04,0.05,19.5,19.2,18.8,1198,1210,1200,0.04,1203.0,1.0,19.0
maine,0.08,0.07,0.06,0.95,0.99,0.99,24.3,24.0,24.3,1012,1013,1013,0.98,1013.0,0.07,24.0
maryland,0.28,0.31,0.28,0.69,0.76,0.82,23.6,22.5,22.3,1060,1080,1058,0.76,1066.0,0.29,23.0
massachusetts,0.29,0.25,0.21,0.76,0.8,0.81,25.4,25.5,25.5,1107,1125,1120,0.79,1117.0,0.25,25.0
